driver_id,first_name,last_name,phone_number,email,license_number,vehicle,account_creation_date
D47124,Bárbara,Pareja,+34976994994,pareja976@aol.com,IK552845,Chevrolet Hatchback 2016,2022-07-19
D66237,Valeria,Expósito,+34 845579817,expósito654@aol.com,FP952014,Audi SUV 2019,2022-09-03
D84265,Nydia,Ferrán,+34 848 730 591,ferrán538@hotmail.com,NO406822,Kia SUV 2018,2023-04-19
D15193,Juana,Arenas,+34 841 357 852,arenas146@hotmail.com,FP120082,Mercedes-Benz SUV 2015,2022-01-11
D78243,Ani,Benitez,+34824 41 90 78,benitez985@aol.com,ZB871111,Tesla Hatchback 2023,2021-09-29
D79425,Regina,Valentín,+34941294226,valentín333@yahoo.com,WJ949737,Hyundai Sedan 2022,2022-04-16
D19056,Antonio,Caparrós,+34941 328 836,caparrós304@aol.com,WJ895830,Chevrolet Hatchback 2018,2023-05-16
D56398,Leonor,Ropero,+34 826 23 39 68,ropero252@outlook.com,VH026419,Tesla Hatchback 2022,2022-07-25
D45088,Florinda,Bonilla,+34741 377 188,bonilla629@outlook.com,IC325782,Ford Sedan 2020,2022-08-18
D15957,Herminio,Águila,+34 807 80 24 40,águila899@aol.com,WH846541,Subaru Truck 2022,2022-10-22
D29728,Norberto,Barral,+34 803 081 646,barral291@hotmail.com,MQ448896,Ford SUV 2015,2020-08-07
D62538,Vidal,Ortiz,+34885469407,ortiz392@yahoo.com,YU631651,Kia Truck 2020,2023-12-09
D90919,Ariadna,Miranda,+34923 69 70 27,miranda702@outlook.com,OR324599,Jeep Coupe 2022,2021-07-20
D74519,Pili,Ballester,+34955 993 269,ballester478@aol.com,DC044007,Audi Hatchback 2016,2023-03-06
D27630,Angelita,Colomer,+34 947 62 63 43,colomer29@hotmail.com,FS306057,Nissan Truck 2022,2020-09-18
D20385,Emiliana,Durán,+34 826 685 244,durán223@gmail.com,NE948462,Tesla Truck 2023,2021-05-06
D73656,Eladio,Arjona,+34979 78 52 04,arjona743@outlook.com,RD765296,Mercedes-Benz Hatchback 2020,2023-08-19
D34614,Vidal,Sosa,+34847802304,sosa266@yahoo.com,AJ219753,Volkswagen Truck 2022,2021-12-06
D12097,Amador,Figuerola,+34922 391 421,figuerola590@gmail.com,ND415797,Mercedes-Benz Coupe 2016,2020-07-12
D78492,Rosalinda,Arévalo,+34 917971674,arévalo864@gmail.com,HS634733,Tesla Sedan 2020,2020-04-14
D22535,Estrella,Zabala,+34878 339 870,zabala778@hotmail.com,UR876406,Kia Coupe 2021,2023-12-25
D38781,Josep,Sarabia,+34 986337448,sarabia651@gmail.com,BW616177,Subaru Coupe 2023,2020-03-22
D16786,Perlita,Querol,+34976 740 018,querol246@outlook.com,CS026626,Mercedes-Benz Sedan 2016,2021-05-28
D10171,Baltasar,Folch,+34949 317 457,folch423@hotmail.com,ON136437,Nissan Coupe 2016,2021-02-26
D96492,Belen,Coronado,+34981 693 605,coronado884@gmail.com,OX886879,Chevrolet Coupe 2021,2023-07-22
D16962,Toribio,Herrero,+34948 648 866,herrero641@hotmail.com,WH434481,Kia Hatchback 2020,2022-02-03
D81225,Osvaldo,Araujo,+34871060708,araujo834@yahoo.com,CH963452,BMW Truck 2016,2021-11-20
D51499,Lupita,Armas,+34 976 97 75 87,armas352@yahoo.com,DT541605,Toyota Sedan 2020,2024-02-17
D93635,Nicanor,Gallo,+34877312545,gallo743@hotmail.com,UU942781,Hyundai Sedan 2017,2024-02-27
D77709,Omar,Sans,+34 925651228,sans503@outlook.com,HQ769598,Chevrolet Hatchback 2023,2021-07-14
D27051,Graciela,Villaverde,+34 977304185,villaverde270@gmail.com,CS081861,Nissan Truck 2015,2021-08-06
D72744,Zacarías,Gálvez,+34 876995669,gálvez193@aol.com,QK115996,Chevrolet Coupe 2015,2023-09-17
D48236,Evangelina,Duran,+34 942 286 222,duran552@gmail.com,HU058545,Mazda Hatchback 2023,2023-05-21
D85872,Luisa,Suarez,+34 978 717 660,suarez193@yahoo.com,PD238498,Hyundai Coupe 2018,2023-08-03
D42981,Rubén,Villaverde,+34941023162,villaverde713@yahoo.com,IT462682,Volkswagen Sedan 2018,2021-10-28
D79579,Manolo,Iñiguez,+34 978 17 31 04,iñiguez271@hotmail.com,SX721001,Tesla Coupe 2016,2022-04-08
D66290,Crescencia,Gisbert,+34 880649905,gisbert259@aol.com,PK420919,Tesla SUV 2022,2022-06-11
D63568,Regina,Durán,+34923 64 50 09,durán682@aol.com,YY028255,Jeep Truck 2016,2021-03-22
D64779,Pepe,Ballesteros,+34 807 157 523,ballesteros537@outlook.com,AN798550,Hyundai Sedan 2018,2021-07-20
D82317,Daniela,Peiró,+34859 853 869,peiró590@aol.com,CG832747,Honda Coupe 2016,2020-12-08
D49946,Federico,Domingo,+34842 44 57 03,domingo779@yahoo.com,LO455335,Mazda Hatchback 2021,2023-04-29
D44558,Elba,Bertrán,+34900159171,bertrán301@outlook.com,YZ554793,Chevrolet SUV 2021,2022-04-23
D47375,Yago,Cobo,+34973 131 310,cobo655@gmail.com,OE173503,Toyota Coupe 2020,2020-10-12
D52133,Rómulo,Blanco,+34978627304,blanco840@gmail.com,PJ930662,Toyota Sedan 2023,2023-01-10
D37884,Marc,Rosell,+34878 74 05 96,rosell796@gmail.com,XM197420,Jeep Sedan 2022,2021-11-30
D30762,Tatiana,Gimeno,+34 923 03 15 43,gimeno43@hotmail.com,IT230402,Toyota Sedan 2018,2022-07-26
D52876,Teresita,Bello,+34 981 41 72 62,bello38@hotmail.com,RG736774,Chevrolet Truck 2015,2022-04-08
D56598,Bonifacio,Ibáñez,+34979321792,ibáñez458@outlook.com,EZ061440,Chevrolet Hatchback 2018,2021-12-09
D78190,Armida,Andres,+34828 22 47 13,andres341@hotmail.com,ET372248,Ford Hatchback 2021,2022-04-06
D21181,Gerónimo,Ferreras,+34 883 126 339,ferreras939@gmail.com,GH099092,BMW Hatchback 2023,2020-11-15
D71214,Cándido,Blázquez,+34 927936470,blázquez205@yahoo.com,VB809940,Audi Truck 2019,2022-05-03
D16722,Calixta,Solsona,+34699857767,solsona941@gmail.com,AI005681,Jeep Truck 2022,2023-02-28
D64514,Leocadio,Valentín,+34839822184,valentín413@outlook.com,SD879507,Chevrolet Coupe 2017,2022-01-30
D58368,Antonio,Carbajo,+34921609249,carbajo605@aol.com,PO938234,Hyundai Sedan 2018,2023-10-19
D43975,Loreto,Carro,+34811 099 002,carro497@yahoo.com,JD312813,Jeep SUV 2021,2022-10-18
D79355,Isabel,Garcia,+34 962 09 16 29,garcia973@gmail.com,CQ712798,Volkswagen SUV 2017,2023-08-04
D24521,Macarena,Bayón,+34888 294 641,bayón502@gmail.com,QV430684,Volkswagen SUV 2016,2021-04-24
D32432,Celia,Yáñez,+34 872406208,yáñez811@yahoo.com,ZE722784,Tesla Coupe 2023,2023-05-29
D53752,Aníbal,Ugarte,+34901 717 975,ugarte884@outlook.com,AI523320,Ford Coupe 2019,2023-04-09
D40116,Ismael,Bru,+34842 628 783,bru295@aol.com,XE047344,Audi Coupe 2019,2022-05-15
D27037,Abril,Bermudez,+34824 40 60 17,bermudez113@aol.com,OK065192,Toyota Hatchback 2021,2023-06-09
D52692,Paulino,Pedro,+34923823854,pedro613@hotmail.com,DV297068,Tesla SUV 2020,2021-12-12
D48048,Guiomar,Galindo,+34 977041449,galindo988@yahoo.com,PX280196,Mazda Truck 2021,2023-07-25
D62438,Carmina,Cardona,+34978 16 52 92,cardona337@yahoo.com,TM002873,Tesla Coupe 2019,2023-01-19
