user_id,first_name,last_name,email,phone_number,signup_date,city
U70467,Juan Manuel,Carbonell,carbonell139@hotmail.com,+34985 13 56 70,2021-08-16,Zaragoza
U84542,Ximena,Segovia,segovia513@yahoo.com,+34821413795,2023-09-27,Málaga
U54537,José Mari,Conesa,conesa669@aol.com,+34 987 544 335,2022-10-26,Zaragoza
U20263,Lucía,Carballo,carballo968@yahoo.com,+34 971 39 27 44,2023-10-31,Zaragoza
U39368,Régulo,Medina,medina598@gmail.com,+34925401363,2021-09-15,Sevilla
U65709,Diego,Gelabert,gelabert583@hotmail.com,+34883 66 66 52,2024-07-21,Bilbao
U65018,Loreto,Bayón,bayón949@yahoo.com,+34858107903,2022-02-05,Valencia
U36762,Jaime,Morata,morata832@gmail.com,+34981 719 619,2020-04-24,Málaga
U43856,Sandalio,Novoa,novoa698@outlook.com,+34 941754906,2023-04-24,Bilbao
U32352,Salvador,Lasa,lasa988@yahoo.com,+34 972 41 43 17,2024-12-29,Barcelona
U95743,Geraldo,Solana,solana552@aol.com,+34 873 377 192,2023-01-25,Bilbao
U88730,Carlito,Caballero,caballero976@gmail.com,+34 887 573 305,2022-10-15,Bilbao
U62766,Claudia,Jove,jove632@outlook.com,+34 946 43 06 93,2020-05-18,Zaragoza
U96144,Carmen,Sevillano,sevillano189@yahoo.com,+34847387752,2021-06-06,Barcelona
U78884,Alonso,Jódar,jódar602@gmail.com,+34 972 42 56 40,2025-01-24,Valencia
U46022,Herberto,Silva,silva488@yahoo.com,+34 821 362 321,2024-06-02,Valencia
U15363,Edelmiro,Cuervo,cuervo853@gmail.com,+34902 13 59 21,2021-11-05,Barcelona
U94345,Albert,Angulo,angulo865@hotmail.com,+34882535553,2021-05-06,Zaragoza
U77233,Oriana,Cuadrado,cuadrado269@gmail.com,+34 846 25 95 35,2023-03-13,Málaga
U74528,Eugenia,Catalán,catalán799@gmail.com,+34 900 197 797,2022-05-20,Sevilla
U22242,Duilio,Aguado,aguado331@gmail.com,+34 953977919,2020-11-11,Valencia
U95355,Pascuala,Bas,bas624@gmail.com,+34 826 20 59 15,2024-09-12,Málaga
U90357,Ildefonso,Gimenez,gimenez978@yahoo.com,+34 880 559 004,2023-06-06,Valencia
U69470,Luís,Téllez,téllez80@aol.com,+34842129252,2023-03-21,Sevilla
U33800,Priscila,Duran,duran785@gmail.com,+34746632443,2022-04-09,Barcelona
U97975,Pancho,Quintana,quintana658@hotmail.com,+34876 32 34 79,2022-03-13,Barcelona
U23331,Eleuterio,Cabo,cabo298@aol.com,+34 806 10 67 01,2020-11-15,Valencia
U49274,Elías,Múgica,múgica864@hotmail.com,+34942055500,2023-03-19,Madrid
U31543,Amor,Cuesta,cuesta117@outlook.com,+34885 966 626,2023-05-27,Valencia
U93148,Judith,Vigil,vigil615@yahoo.com,+34821384222,2022-07-21,Sevilla
U28485,Berta,Calderón,calderón209@outlook.com,+34943 965 721,2020-08-01,Sevilla
U67089,Heraclio,Garcés,garcés996@aol.com,+34 948 22 05 84,2023-04-29,Madrid
U84834,Jose Carlos,Coca,coca676@hotmail.com,+34888460585,2023-09-18,Valencia
U49011,Francisca,Diez,diez217@aol.com,+34 973 66 87 07,2022-03-20,Sevilla
